50 0.0 5
1 719 374
2 261 158
3 589 881
4 945 297
5 312 941
6 246 488
7 551 619
8 345 230
9 116 903
10 858 92
11 942 519
12 632 573
13 126 644
14 293 191
15 670 806
16 544 478
17 580 256
18 982 553
19 946 896
20 75 890
21 843 686
22 336 736
23 357 322
24 361 71
25 902 918
26 994 475
27 392 759
28 330 890
29 603 692
30 676 469
31 679 768
32 493 371
33 23 52
34 997 105
35 314 219
36 507 651
37 519 171
38 394 95
39 56 853
40 772 311
41 576 205
42 662 195
43 650 812
44 538 427
45 279 754
46 85 912
47 501 781
48 957 90
49 893 371
50 41 374
opening costs
496 663 507 109 270 191 39 88 277 607 697 930 65 806 290 236 553 721 912 173 91 650 224 234 213 555 11 953 93 39 193 212 436 682 992 512 483 379 916 534 923 415 508 976 106 437 239 349 673 797 
star costs
0.0 507.0 524.0 239.0 698.0 487.0 298.0 401.0 803.0 315.0 266.0 218.0 652.0 464.0 435.0 204.0 183.0 319.0 570.0 826.0 336.0 528.0 366.0 470.0 574.0 293.0 506.0 647.0 339.0 105.0 397.0 227.0 767.0 387.0 434.0 349.0 285.0 429.0 818.0 83.0 222.0 188.0 444.0 189.0 582.0 832.0 462.0 371.0 175.0 678.0 
507.0 0.0 794.0 698.0 785.0 331.0 545.0 111.0 759.0 601.0 771.0 557.0 505.0 46.0 767.0 428.0 334.0 823.0 1007.0 756.0 786.0 583.0 191.0 133.0 995.0 799.0 616.0 736.0 635.0 519.0 740.0 315.0 261.0 738.0 81.0 551.0 259.0 148.0 725.0 534.0 319.0 403.0 761.0 387.0 597.0 775.0 668.0 700.0 667.0 309.0 
524.0 794.0 0.0 684.0 284.0 522.0 265.0 696.0 474.0 834.0 506.0 311.0 521.0 751.0 111.0 406.0 626.0 512.0 358.0 515.0 321.0 292.0 606.0 842.0 316.0 574.0 232.0 260.0 190.0 422.0 145.0 519.0 1004.0 877.0 717.0 245.0 714.0 810.0 534.0 599.0 677.0 690.0 93.0 457.0 336.0 505.0 134.0 873.0 594.0 747.0 
239.0 698.0 684.0 0.0 904.0 725.0 509.0 604.0 1027.0 223.0 223.0 418.0 890.0 661.0 579.0 440.0 368.0 259.0 600.0 1053.0 403.0 751.0 589.0 627.0 623.0 185.0 721.0 855.0 523.0 320.0 541.0 459.0 954.0 199.0 636.0 564.0 445.0 587.0 1049.0 174.0 381.0 301.0 594.0 428.0 808.0 1058.0 657.0 208.0 91.0 908.0 
698.0 785.0 284.0 904.0 0.0 458.0 402.0 712.0 200.0 1010.0 759.0 488.0 351.0 751.0 383.0 518.0 736.0 775.0 636.0 243.0 590.0 207.0 621.0 872.0 591.0 827.0 199.0 55.0 383.0 597.0 406.0 599.0 935.0 1081.0 723.0 350.0 798.0 850.0 271.0 781.0 782.0 825.0 362.0 562.0 190.0 229.0 248.0 1068.0 814.0 629.0 
487.0 331.0 522.0 725.0 458.0 0.0 332.0 277.0 435.0 729.0 697.0 396.0 197.0 301.0 530.0 299.0 407.0 739.0 811.0 437.0 629.0 264.0 200.0 433.0 785.0 749.0 308.0 411.0 412.0 431.0 516.0 274.0 490.0 844.0 278.0 308.0 419.0 420.0 412.0 555.0 435.0 509.0 518.0 299.0 269.0 454.0 389.0 815.0 658.0 235.0 
298.0 545.0 265.0 509.0 402.0 332.0 0.0 441.0 520.0 610.0 404.0 94.0 426.0 500.0 222.0 142.0 365.0 437.0 483.0 548.0 300.0 245.0 355.0 581.0 462.0 466.0 212.0 350.0 90.0 196.0 197.0 255.0 775.0 681.0 465.0 55.0 450.0 548.0 548.0 380.0 415.0 439.0 217.0 193.0 304.0 551.0 170.0 667.0 423.0 566.0 
401.0 111.0 696.0 604.0 712.0 277.0 441.0 0.0 711.0 532.0 664.0 448.0 469.0 65.0 662.0 318.0 237.0 715.0 898.0 714.0 676.0 507.0 93.0 160.0 886.0 694.0 532.0 661.0 530.0 409.0 634.0 205.0 368.0 664.0 33.0 452.0 184.0 144.0 687.0 435.0 233.0 319.0 658.0 276.0 529.0 730.0 573.0 628.0 566.0 337.0 
