50 0.092 7
1 68.0 52.0
2 53.0 10.0
3 59.0 45.0
4 82.0 96.0
5 26.0 47.0
6 48.0 61.0
7 68.0 84.0
8 53.0 69.0
9 95.0 20.0
10 92.0 69.0
11 60.0 9.0
12 37.0 20.0
13 14.0 20.0
14 16.0 95.0
15 33.0 99.0
16 32.0 97.0
17 67.0 19.0
18 6.0 31.0
19 80.0 6.0
20 18.0 65.0
21 26.0 5.0
22 68.0 97.0
23 26.0 70.0
24 70.0 76.0
25 25.0 55.0
26 79.0 89.0
27 68.0 6.0
28 60.0 15.0
29 13.0 58.0
30 33.0 65.0
31 66.0 29.0
32 62.0 2.0
33 7.0 7.0
34 58.0 54.0
35 36.0 57.0
36 5.0 19.0
37 51.0 27.0
38 11.0 64.0
39 29.0 79.0
40 40.0 59.0
41 36.0 67.0
42 95.0 51.0
43 72.0 91.0
44 6.0 88.0
45 93.0 84.0
46 30.0 35.0
47 100.0 65.0
48 5.0 51.0
49 55.0 32.0
50 68.0 35.0
