50 0.069 7
1 28.0 40.0
2 60.0 82.0
3 53.0 51.0
4 23.0 74.0
5 53.0 35.0
6 10.0 23.0
7 8.0 41.0
8 3.0 63.0
9 10.0 33.0
10 53.0 96.0
11 86.0 52.0
12 91.0 66.0
13 77.0 77.0
14 65.0 79.0
15 85.0 92.0
16 56.0 35.0
17 34.0 1.0
18 77.0 3.0
19 72.0 71.0
20 53.0 88.0
21 76.0 70.0
22 39.0 62.0
23 24.0 54.0
24 85.0 36.0
25 94.0 47.0
26 12.0 61.0
27 55.0 54.0
28 95.0 28.0
29 24.0 21.0
30 93.0 24.0
31 55.0 47.0
32 45.0 56.0
33 4.0 95.0
34 60.0 85.0
35 73.0 88.0
36 18.0 47.0
37 55.0 53.0
38 10.0 5.0
39 34.0 17.0
40 23.0 45.0
41 1.0 81.0
42 29.0 55.0
43 38.0 28.0
44 66.0 92.0
45 31.0 55.0
46 28.0 39.0
47 70.0 21.0
48 54.0 32.0
49 89.0 26.0
50 43.0 48.0
