50 0.231 3
1 72.0 35.0
2 60.0 4.0
3 86.0 22.0
4 98.0 83.0
5 7.0 83.0
6 12.0 42.0
7 70.0 19.0
8 82.0 92.0
9 83.0 70.0
10 9.0 42.0
11 42.0 90.0
12 92.0 81.0
13 54.0 43.0
14 17.0 50.0
15 53.0 29.0
16 93.0 46.0
17 71.0 57.0
18 58.0 63.0
19 40.0 31.0
20 91.0 69.0
21 42.0 1.0
22 84.0 79.0
23 98.0 40.0
24 21.0 88.0
25 45.0 81.0
26 28.0 34.0
27 26.0 29.0
28 63.0 34.0
29 30.0 13.0
30 52.0 45.0
31 51.0 38.0
32 11.0 95.0
33 82.0 14.0
34 56.0 48.0
35 8.0 32.0
36 51.0 61.0
37 90.0 9.0
38 21.0 10.0
39 81.0 47.0
40 18.0 77.0
41 86.0 11.0
42 52.0 45.0
43 1.0 48.0
44 13.0 28.0
45 46.0 45.0
46 71.0 83.0
47 18.0 90.0
48 56.0 60.0
49 89.0 21.0
50 69.0 25.0
