50 0.023 7
1 43.0 16.0
2 83.0 58.0
3 23.0 1.0
4 76.0 44.0
5 27.0 9.0
6 31.0 1.0
7 45.0 63.0
8 71.0 40.0
9 78.0 89.0
10 23.0 74.0
11 57.0 70.0
12 40.0 59.0
13 45.0 95.0
14 35.0 45.0
15 79.0 80.0
16 85.0 46.0
17 21.0 88.0
18 30.0 90.0
19 30.0 98.0
20 75.0 32.0
21 90.0 72.0
22 59.0 40.0
23 44.0 12.0
24 53.0 16.0
25 9.0 34.0
26 9.0 57.0
27 69.0 94.0
28 21.0 36.0
29 60.0 90.0
30 59.0 35.0
31 81.0 9.0
32 31.0 66.0
33 19.0 41.0
34 86.0 36.0
35 47.0 17.0
36 92.0 32.0
37 22.0 22.0
38 51.0 28.0
39 73.0 78.0
40 60.0 86.0
41 6.0 31.0
42 29.0 25.0
43 76.0 69.0
44 37.0 76.0
45 24.0 48.0
46 22.0 90.0
47 70.0 46.0
48 18.0 43.0
49 11.0 31.0
50 46.0 95.0
