50 0.115 7
1 17.0 47.0
2 29.0 49.0
3 22.0 85.0
4 92.0 97.0
5 34.0 45.0
6 12.0 7.0
7 56.0 39.0
8 31.0 59.0
9 29.0 10.0
10 47.0 1.0
11 66.0 14.0
12 93.0 25.0
13 4.0 36.0
14 97.0 15.0
15 32.0 16.0
16 14.0 22.0
17 49.0 16.0
18 78.0 80.0
19 37.0 50.0
20 61.0 39.0
21 91.0 78.0
22 17.0 22.0
23 94.0 41.0
24 45.0 81.0
25 12.0 62.0
26 59.0 80.0
27 24.0 58.0
28 11.0 53.0
29 74.0 90.0
30 38.0 36.0
31 0.0 78.0
32 21.0 61.0
33 30.0 1.0
34 13.0 70.0
35 40.0 28.0
36 28.0 43.0
37 74.0 13.0
38 32.0 81.0
39 79.0 91.0
40 7.0 28.0
41 25.0 3.0
42 89.0 67.0
43 76.0 29.0
44 37.0 51.0
45 34.0 89.0
46 100.0 55.0
47 67.0 11.0
48 33.0 48.0
49 96.0 41.0
50 81.0 32.0
