30 0.0 5
1 481 966
2 848 556
3 933 915
4 6 981
5 13 53
6 727 182
7 712 210
8 632 351
9 99 352
10 676 464
11 420 751
12 46 57
13 717 107
14 556 467
15 308 66
16 147 771
17 258 338
18 924 650
19 254 426
20 996 381
21 98 418
22 646 95
23 364 622
24 790 862
25 638 420
26 399 204
27 187 659
28 177 188
29 509 815
30 685 983
opening costs
977 540 90 251 739 261 274 979 243 240 83 378 17 312 591 47 133 732 160 953 678 406 170 848 768 827 413 26 60 739 
star costs
0.0 551.0 455.0 476.0 1026.0 822.0 791.0 634.0 724.0 539.0 224.0 1008.0 891.0 505.0 917.0 387.0 667.0 545.0 586.0 780.0 669.0 887.0 364.0 327.0 569.0 767.0 426.0 836.0 154.0 205.0 
551.0 0.0 369.0 944.0 975.0 394.0 372.0 298.0 777.0 196.0 471.0 945.0 468.0 306.0 730.0 734.0 629.0 121.0 609.0 230.0 763.0 504.0 489.0 312.0 251.0 571.0 669.0 766.0 427.0 458.0 
455.0 369.0 0.0 930.0 1261.0 762.0 739.0 640.0 1007.0 520.0 539.0 1235.0 837.0 586.0 1055.0 800.0 889.0 266.0 837.0 538.0 972.0 869.0 641.0 153.0 577.0 890.0 789.0 1049.0 436.0 258.0 
476.0 944.0 930.0 0.0 929.0 1077.0 1046.0 889.0 636.0 847.0 474.0 925.0 1127.0 753.0 964.0 253.0 691.0 976.0 608.0 1158.0 571.0 1093.0 507.0 793.0 846.0 871.0 370.0 812.0 530.0 680.0 
1026.0 975.0 1261.0 929.0 0.0 726.0 717.0 687.0 312.0 781.0 808.0 34.0 707.0 683.0 296.0 731.0 376.0 1090.0 445.0 1037.0 375.0 635.0 669.0 1122.0 725.0 415.0 631.0 213.0 910.0 1148.0 
822.0 394.0 762.0 1077.0 726.0 0.0 32.0 194.0 651.0 287.0 647.0 693.0 76.0 333.0 435.0 827.0 495.0 508.0 533.0 335.0 672.0 119.0 571.0 683.0 255.0 329.0 721.0 551.0 670.0 803.0 
791.0 372.0 739.0 1046.0 717.0 32.0 0.0 163.0 630.0 257.0 615.0 684.0 104.0 301.0 429.0 797.0 472.0 489.0 507.0 332.0 649.0 133.0 540.0 657.0 223.0 314.0 691.0 536.0 639.0 774.0 
634.0 298.0 640.0 889.0 687.0 194.0 163.0 0.0 534.0 122.0 453.0 656.0 259.0 139.0 432.0 642.0 375.0 418.0 386.0 366.0 539.0 257.0 382.0 535.0 70.0 276.0 542.0 484.0 481.0 635.0 
