10 0.0 5
1 941 301
2 220 198
3 170 395
4 89 331
5 982 165
6 260 404
7 310 457
8 932 453
9 249 177
10 821 461
opening costs
751 820 962 18 86 581 206 535 934 277 
star costs
0.0 729.0 777.0 853.0 143.0 689.0 650.0 153.0 704.0 200.0 
729.0 0.0 204.0 187.0 763.0 210.0 275.0 757.0 36.0 657.0 
777.0 204.0 0.0 104.0 844.0 91.0 154.0 765.0 232.0 655.0 
853.0 187.0 104.0 0.0 909.0 186.0 255.0 852.0 223.0 744.0 
143.0 763.0 844.0 909.0 0.0 761.0 733.0 293.0 734.0 337.0 
689.0 210.0 91.0 186.0 761.0 0.0 73.0 674.0 228.0 564.0 
650.0 275.0 154.0 255.0 733.0 73.0 0.0 623.0 287.0 512.0 
153.0 757.0 765.0 852.0 293.0 674.0 623.0 0.0 737.0 112.0 
704.0 36.0 232.0 223.0 734.0 228.0 287.0 737.0 0.0 639.0 
200.0 657.0 655.0 744.0 337.0 564.0 512.0 112.0 639.0 0.0 
