10 0.0 5
1 207 903
2 374 397
3 249 522
4 757 84
5 483 60
6 109 955
7 263 930
8 269 640
9 277 704
10 561 488
opening costs
284 51 857 249 480 28 669 459 565 877 
star costs
0.0 533.0 384.0 987.0 888.0 111.0 63.0 271.0 211.0 546.0 
533.0 0.0 177.0 495.0 355.0 618.0 545.0 265.0 322.0 208.0 
384.0 177.0 0.0 671.0 518.0 456.0 409.0 120.0 185.0 314.0 
987.0 495.0 671.0 0.0 276.0 1086.0 980.0 740.0 785.0 450.0 
888.0 355.0 518.0 276.0 0.0 971.0 898.0 619.0 677.0 436.0 
111.0 618.0 456.0 1086.0 971.0 0.0 157.0 354.0 303.0 650.0 
63.0 545.0 409.0 980.0 898.0 157.0 0.0 291.0 227.0 534.0 
271.0 265.0 120.0 740.0 619.0 354.0 291.0 0.0 65.0 330.0 
211.0 322.0 185.0 785.0 677.0 303.0 227.0 65.0 0.0 357.0 
546.0 208.0 314.0 450.0 436.0 650.0 534.0 330.0 357.0 0.0 
