30 0.0 5
1 142 902
2 29 940
3 574 833
4 37 161
5 459 779
6 922 430
7 826 752
8 917 1
9 499 221
10 141 703
11 219 184
12 470 894
13 607 803
14 700 34
15 643 322
16 897 652
17 462 689
18 602 322
19 68 591
20 983 963
21 514 944
22 201 993
23 253 153
24 655 101
25 875 308
26 445 504
27 401 293
28 831 429
29 211 698
30 673 254
opening costs
700 454 397 554 654 403 234 301 904 147 439 771 715 36 614 761 854 640 621 912 119 752 177 435 774 193 801 856 397 585 
star costs
0.0 120.0 438.0 749.0 341.0 912.0 701.0 1189.0 769.0 200.0 723.0 329.0 476.0 1032.0 767.0 796.0 385.0 741.0 320.0 844.0 375.0 109.0 758.0 952.0 944.0 501.0 662.0 836.0 216.0 838.0 
120.0 0.0 556.0 780.0 460.0 1029.0 819.0 1293.0 859.0 263.0 780.0 444.0 595.0 1128.0 872.0 915.0 501.0 843.0 352.0 955.0 486.0 180.0 819.0 1047.0 1057.0 603.0 747.0 951.0 303.0 941.0 
438.0 556.0 0.0 861.0 128.0 533.0 265.0 900.0 617.0 453.0 740.0 121.0 45.0 809.0 516.0 371.0 183.0 512.0 561.0 430.0 127.0 406.0 752.0 737.0 606.0 354.0 568.0 479.0 388.0 588.0 
749.0 780.0 861.0 0.0 749.0 925.0 986.0 895.0 466.0 552.0 184.0 852.0 859.0 676.0 628.0 991.0 678.0 588.0 432.0 1241.0 917.0 849.0 217.0 621.0 851.0 534.0 388.0 839.0 565.0 643.0 
341.0 460.0 128.0 749.0 0.0 580.0 368.0 903.0 560.0 327.0 642.0 116.0 150.0 784.0 493.0 457.0 91.0 479.0 434.0 556.0 174.0 336.0 660.0 706.0 629.0 276.0 490.0 511.0 261.0 567.0 
912.0 1029.0 533.0 925.0 580.0 0.0 337.0 430.0 472.0 828.0 745.0 648.0 489.0 454.0 300.0 224.0 528.0 338.0 870.0 537.0 657.0 915.0 725.0 424.0 131.0 483.0 539.0 92.0 760.0 305.0 
701.0 819.0 265.0 986.0 368.0 337.0 0.0 757.0 624.0 687.0 832.0 384.0 225.0 729.0 468.0 123.0 370.0 485.0 775.0 264.0 367.0 670.0 829.0 674.0 447.0 455.0 626.0 324.0 618.0 521.0 
1189.0 1293.0 900.0 895.0 903.0 430.0 757.0 0.0 473.0 1047.0 722.0 999.0 860.0 220.0 423.0 652.0 825.0 450.0 1034.0 965.0 1026.0 1224.0 682.0 281.0 310.0 690.0 593.0 437.0 993.0 352.0 
