20 0.0 5
1 27 341
2 230 305
3 409 496
4 850 511
5 309 582
6 819 954
7 59 387
8 529 448
9 30 730
10 523 682
11 701 184
12 263 152
13 741 203
14 118 745
15 408 329
16 756 584
17 328 619
18 698 481
19 162 948
20 861 889
opening costs
576 741 691 455 428 816 186 111 554 502 870 177 989 793 804 853 5 16 230 728 
star costs
0.0 207.0 413.0 841.0 371.0 1002.0 57.0 514.0 390.0 602.0 693.0 303.0 728.0 415.0 382.0 769.0 410.0 686.0 622.0 998.0 
207.0 0.0 262.0 654.0 289.0 877.0 190.0 332.0 470.0 478.0 487.0 157.0 522.0 455.0 180.0 596.0 329.0 500.0 647.0 860.0 
413.0 262.0 0.0 442.0 132.0 615.0 367.0 130.0 446.0 219.0 428.0 374.0 443.0 383.0 168.0 358.0 148.0 290.0 516.0 599.0 
841.0 654.0 442.0 0.0 546.0 445.0 801.0 328.0 849.0 370.0 360.0 689.0 327.0 769.0 479.0 120.0 534.0 155.0 816.0 379.0 
371.0 289.0 132.0 546.0 0.0 632.0 318.0 258.0 316.0 237.0 559.0 433.0 575.0 252.0 272.0 448.0 42.0 402.0 395.0 632.0 
1002.0 877.0 615.0 445.0 632.0 0.0 949.0 584.0 821.0 402.0 779.0 976.0 756.0 732.0 749.0 376.0 595.0 489.0 658.0 78.0 
57.0 190.0 367.0 801.0 318.0 949.0 0.0 474.0 345.0 550.0 674.0 312.0 707.0 363.0 354.0 725.0 356.0 646.0 571.0 947.0 
514.0 332.0 130.0 328.0 258.0 584.0 474.0 0.0 574.0 235.0 316.0 398.0 324.0 508.0 170.0 265.0 264.0 173.0 621.0 553.0 
390.0 470.0 446.0 849.0 316.0 821.0 345.0 574.0 0.0 496.0 866.0 624.0 886.0 90.0 552.0 741.0 319.0 713.0 255.0 847.0 
602.0 478.0 219.0 370.0 237.0 402.0 550.0 235.0 496.0 0.0 529.0 591.0 527.0 410.0 372.0 253.0 205.0 267.0 449.0 397.0 
693.0 487.0 428.0 360.0 559.0 779.0 674.0 316.0 866.0 529.0 0.0 440.0 45.0 810.0 327.0 404.0 574.0 298.0 935.0 723.0 
303.0 157.0 374.0 689.0 433.0 976.0 312.0 398.0 624.0 591.0 440.0 0.0 481.0 611.0 229.0 656.0 472.0 546.0 803.0 950.0 
728.0 522.0 443.0 327.0 575.0 756.0 707.0 324.0 886.0 527.0 45.0 481.0 0.0 826.0 357.0 382.0 587.0 282.0 944.0 697.0 
415.0 455.0 383.0 769.0 252.0 732.0 363.0 508.0 90.0 410.0 810.0 611.0 826.0 0.0 508.0 659.0 245.0 638.0 208.0 757.0 
382.0 180.0 168.0 479.0 272.0 749.0 354.0 170.0 552.0 372.0 327.0 229.0 357.0 508.0 0.0 432.0 301.0 328.0 667.0 721.0 
769.0 596.0 358.0 120.0 448.0 376.0 725.0 265.0 741.0 253.0 404.0 656.0 382.0 659.0 432.0 0.0 430.0 119.0 697.0 323.0 
410.0 329.0 148.0 534.0 42.0 595.0 356.0 264.0 319.0 205.0 574.0 472.0 587.0 245.0 301.0 430.0 0.0 395.0 369.0 598.0 
686.0 500.0 290.0 155.0 402.0 489.0 646.0 173.0 713.0 267.0 298.0 546.0 282.0 638.0 328.0 119.0 395.0 0.0 711.0 440.0 
622.0 647.0 516.0 816.0 395.0 658.0 571.0 621.0 255.0 449.0 935.0 803.0 944.0 208.0 667.0 697.0 369.0 711.0 0.0 702.0 
998.0 860.0 599.0 379.0 632.0 78.0 947.0 553.0 847.0 397.0 723.0 950.0 697.0 757.0 721.0 323.0 598.0 440.0 702.0 0.0 
