60 0.0 5
1 246 20
2 388 525
3 158 174
4 510 372
5 200 63
6 295 916
7 383 505
8 241 853
9 171 838
10 395 618
11 143 498
12 165 78
13 92 36
14 676 544
15 430 248
16 509 766
17 121 808
18 537 839
19 119 175
20 570 381
21 726 487
22 858 586
23 592 42
24 261 88
25 104 221
26 841 423
27 442 859
28 28 187
29 665 197
30 529 343
31 50 90
32 275 438
33 540 293
34 141 333
35 197 724
36 340 940
37 699 899
38 397 914
39 909 150
40 777 553
41 319 652
42 820 560
43 244 833
44 747 860
45 822 171
46 551 214
47 169 864
48 414 120
49 918 430
50 650 185
51 438 69
52 276 834
53 873 896
54 213 489
55 365 395
56 752 180
57 574 188
58 745 941
59 398 764
60 485 475
opening costs
848 469 418 47 143 150 684 481 259 564 682 899 378 359 680 404 607 814 78 358 779 184 388 906 897 118 154 10 872 44 148 90 464 827 855 659 914 179 257 107 596 520 52 598 554 724 799 856 808 990 148 375 107 571 756 11 881 763 590 586 
star costs
0.0 525.0 178.0 440.0 63.0 898.0 504.0 834.0 822.0 617.0 489.0 100.0 155.0 678.0 293.0 792.0 798.0 870.0 201.0 486.0 670.0 834.0 347.0 70.0 247.0 719.0 862.0 275.0 455.0 430.0 209.0 420.0 402.0 331.0 706.0 925.0 989.0 907.0 676.0 753.0 637.0 789.0 814.0 979.0 596.0 362.0 848.0 196.0 788.0 437.0 199.0 815.0 1078.0 471.0 394.0 531.0 369.0 1048.0 760.0 514.0 
525.0 0.0 420.0 196.0 499.0 402.0 21.0 360.0 381.0 94.0 247.0 500.0 572.0 289.0 281.0 270.0 390.0 348.0 442.0 233.0 341.0 474.0 525.0 456.0 417.0 465.0 339.0 494.0 430.0 231.0 551.0 143.0 278.0 313.0 276.0 418.0 487.0 390.0 642.0 391.0 145.0 434.0 340.0 492.0 561.0 352.0 404.0 406.0 539.0 430.0 459.0 329.0 611.0 179.0 133.0 502.0 385.0 549.0 240.0 110.0 
178.0 420.0 0.0 404.0 119.0 755.0 401.0 685.0 665.0 504.0 325.0 97.0 153.0 637.0 282.0 689.0 636.0 766.0 40.0 462.0 649.0 813.0 454.0 135.0 72.0 727.0 742.0 131.0 508.0 408.0 137.0 289.0 401.0 160.0 552.0 788.0 905.0 778.0 752.0 726.0 505.0 767.0 665.0 905.0 665.0 396.0 691.0 262.0 802.0 493.0 300.0 671.0 1017.0 320.0 303.0 595.0 417.0 966.0 637.0 445.0 
440.0 196.0 404.0 0.0 438.0 585.0 184.0 552.0 577.0 272.0 389.0 454.0 537.0 240.0 148.0 395.0 585.0 468.0 438.0 61.0 245.0 409.0 341.0 378.0 434.0 335.0 492.0 517.0 234.0 35.0 540.0 245.0 85.0 372.0 472.0 593.0 560.0 554.0 457.0 323.0 339.0 363.0 533.0 543.0 372.0 164.0 599.0 270.0 413.0 234.0 312.0 518.0 638.0 320.0 147.0 309.0 195.0 616.0 408.0 106.0 
63.0 499.0 119.0 438.0 0.0 859.0 479.0 792.0 776.0 589.0 439.0 39.0 112.0 677.0 296.0 768.0 750.0 847.0 139.0 488.0 676.0 841.0 393.0 66.0 185.0 736.0 832.0 213.0 484.0 433.0 153.0 383.0 411.0 277.0 662.0 889.0 974.0 874.0 715.0 757.0 601.0 795.0 772.0 967.0 632.0 383.0 802.0 222.0 807.0 467.0 239.0 775.0 1071.0 427.0 371.0 565.0 395.0 1034.0 729.0 501.0 
898.0 402.0 755.0 585.0 859.0 0.0 421.0 83.0 147.0 315.0 445.0 849.0 904.0 533.0 682.0 262.0 205.0 254.0 762.0 602.0 609.0 653.0 924.0 829.0 721.0 736.0 158.0 777.0 809.0 619.0 862.0 479.0 670.0 603.0 216.0 51.0 405.0 103.0 982.0 604.0 266.0 635.0 98.0 456.0 913.0 748.0 137.0 805.0 791.0 813.0 859.0 85.0 579.0 435.0 526.0 867.0 780.0 451.0 184.0 481.0 
504.0 21.0 401.0 184.0 479.0 421.0 0.0 376.0 395.0 114.0 241.0 480.0 552.0 296.0 262.0 290.0 401.0 368.0 423.0 225.0 344.0 482.0 508.0 435.0 399.0 466.0 359.0 477.0 418.0 219.0 533.0 128.0 264.0 297.0 288.0 438.0 506.0 410.0 635.0 397.0 161.0 441.0 357.0 509.0 552.0 337.0 418.0 387.0 541.0 417.0 440.0 346.0 627.0 171.0 112.0 492.0 371.0 567.0 260.0 107.0 
834.0 360.0 685.0 552.0 792.0 83.0 376.0 0.0 72.0 281.0 369.0 779.0 831.0 534.0 634.0 282.0 129.0 297.0 689.0 576.0 608.0 673.0 884.0 766.0 647.0 739.0 202.0 700.0 782.0 586.0 787.0 417.0 635.0 530.0 137.0 132.0 461.0 168.0 970.0 615.0 216.0 649.0 21.0 507.0 896.0 711.0 73.0 754.0 799.0 784.0 809.0 40.0 634.0 366.0 475.0 846.0 744.0 512.0 181.0 450.0 
