10 0.0 5
1 414 953
2 685 852
3 776 909
4 708 702
5 415 143
6 621 580
7 572 246
8 348 713
9 354 354
10 427 859
opening costs
172 19 131 177 349 706 245 387 66 319 
star costs
0.0 290.0 365.0 387.0 811.0 427.0 725.0 249.0 602.0 95.0 
290.0 0.0 108.0 152.0 759.0 280.0 617.0 365.0 598.0 259.0 
365.0 108.0 0.0 218.0 847.0 364.0 694.0 471.0 698.0 353.0 
387.0 152.0 218.0 0.0 632.0 150.0 476.0 361.0 497.0 322.0 
811.0 759.0 847.0 632.0 0.0 484.0 188.0 574.0 220.0 717.0 
427.0 280.0 364.0 150.0 484.0 0.0 338.0 304.0 350.0 340.0 
725.0 617.0 694.0 476.0 188.0 338.0 0.0 518.0 244.0 630.0 
249.0 365.0 471.0 361.0 574.0 304.0 518.0 0.0 360.0 167.0 
602.0 598.0 698.0 497.0 220.0 350.0 244.0 360.0 0.0 511.0 
95.0 259.0 353.0 322.0 717.0 340.0 630.0 167.0 511.0 0.0 
